Orthogroup	Species	Zebrafish.UniProt.renamed	Orthologs
OG0002724	Human.UniProt.renamed	A0A8N7T8E4, A0A0R4IN87	Q86YP4
OG0002725	Human.UniProt.renamed	A0A8M1QVA2, A0A2R8RWY8	Q8N1W2
OG0002726	Human.UniProt.renamed	Q7ZTZ4	P22087, A6NHQ2
OG0002727	Human.UniProt.renamed	A0A8M3B4H1, E7EZV6	O94901
OG0002728	Human.UniProt.renamed	E9QFU2	P42771, P42772
OG0002729	Human.UniProt.renamed	Q7T3H2, Q6P0F9	Q01101
OG0002730	Human.UniProt.renamed	Q6PGV1	P61421, Q8N8Y2
OG0002731	Human.UniProt.renamed	A0A8M9Q5K1, A0A8M1RLN2	Q9P1Y5
OG0002732	Human.UniProt.renamed	Q5U369	Q9UJ72, P12429
OG0002733	Human.UniProt.renamed	A0A8M1PSP4	Q1XH10, A6NHQ4
OG0002734	Human.UniProt.renamed	Q6P2U7, A0A8M2BLP8	O14745
OG0002735	Human.UniProt.renamed	A0A8M2BHN3	P57739, O95500
OG0002736	Human.UniProt.renamed	F1Q688, F1R665	O95810
OG0002737	Human.UniProt.renamed	Q6JAA4	P49711, Q8NI51
OG0002738	Human.UniProt.renamed	Q7T2C4	Q7LBE3, P58743
OG0002739	Human.UniProt.renamed	A0A8M1QKU5, A0A8M9Q884	Q14596
OG0002740	Human.UniProt.renamed	A0A8M9P842	Q5D1E8, A2A288
OG0002741	Human.UniProt.renamed	Q7ZUF8, A0A0G2KRK2	Q8WW33
OG0002742	Human.UniProt.renamed	Q6P005, Q6NYK0	Q96BS2
OG0002743	Human.UniProt.renamed	A0A0R4IAD9, A5PLD2	Q99624
OG0002744	Human.UniProt.renamed	Q1RLU3	O00322, O75841
OG0002745	Human.UniProt.renamed	O73709, O73708	O95343
OG0002746	Human.UniProt.renamed	A1L1T8, Q8QGE3	P08476
OG0002748	Human.UniProt.renamed	E7FEQ8, B0V116	P30556
OG0002749	Human.UniProt.renamed	A0A8M3AVR7	P49840, P49841
OG0002750	Human.UniProt.renamed	A8WFU6, F1QQ04	P50454
OG0002751	Human.UniProt.renamed	E7F2I0, Q801W2	Q03519
OG0002752	Human.UniProt.renamed	A0A8M9QEH1, A0A0G2KHE4	Q6P4Q7
OG0002753	Human.UniProt.renamed	A0A8M6Z259, A0A8M9Q6U8	Q6ZVH7
OG0002754	Human.UniProt.renamed	Q4V8Y7, E9QFQ2	Q8TED9
OG0002755	Human.UniProt.renamed	Q7SY32, A0A8M2BD34	Q96GM1
OG0002756	Human.UniProt.renamed	Q7SXK9	C9J202, Q9BT22
OG0002757	Human.UniProt.renamed	A0A8M2BA63	Q9Y383, Q9NQ29
OG0002758	Human.UniProt.renamed	B0S766	Q9UJ78, Q9UBW7
OG0002759	Human.UniProt.renamed	A9ULS8	Q9UMS5, Q8N3S3
OG0002760	Human.UniProt.renamed	Q08C81, Q6DRL8	A0JLT2
OG0002761	Human.UniProt.renamed	A0A140LGZ3, A0A8M9PQH0	A6NCF5
OG0002762	Human.UniProt.renamed	Q32PT4, A0A8M2BL55	P17931
OG0002763	Human.UniProt.renamed	Q802Y7	P23443, Q9UBS0
OG0002764	Human.UniProt.renamed	E7FEB7	Q5I7T1, Q5BKT4
OG0002765	Human.UniProt.renamed	E7EXU5, A1L2F6	Q6UW68
OG0002766	Human.UniProt.renamed	Q6NXA8, E7FH33	Q7Z6I8
OG0002767	Human.UniProt.renamed	Q7SZR5	G2XKQ0, P63165
OG0002768	Human.UniProt.renamed	A0A0R4IT02, E7F8V4	Q07011
OG0002769	Human.UniProt.renamed	A0A8M2BK86, A5PMH0	Q5T6C5
OG0002770	Human.UniProt.renamed	Q7ZUL0	Q8IWR0, Q9UGR2
OG0002771	Human.UniProt.renamed	F1RC11, E7F4C3	Q8NBI5
OG0002772	Human.UniProt.renamed	A0A8M6YYR6, A0A8N7UUX7	Q8TEW8
OG0002773	Human.UniProt.renamed	E7FES4, I3ITI6	Q96LW2
OG0002774	Human.UniProt.renamed	E7F221	Q9BZ67, Q9BZ68
OG0002775	Human.UniProt.renamed	A0A8M6Z942, Q5UM14	O75762
OG0002776	Human.UniProt.renamed	E9QFS0, A0A8M2B1S8	P14138
OG0002777	Human.UniProt.renamed	Q7ZUP0	O43423, P39687
OG0002778	Human.UniProt.renamed	F1QGQ8, A0A8M1PZN6	Q13029
OG0002779	Human.UniProt.renamed	A0A8M3AXU6, A0A8M9PNC5	Q14938
OG0002780	Human.UniProt.renamed	A4QNX9, A0A8M2B6W9	Q16512
OG0002781	Human.UniProt.renamed	A3KPB2, A0A8M2BAY7	Q9UK76
OG0002782	Human.UniProt.renamed	Q1LWQ5, Q1LWQ4	Q9Y330
OG0002783	Human.UniProt.renamed	A0A1D5NS72, A0A8M1PRV3	O15240
OG0002784	Human.UniProt.renamed	A0A140LFV5, E9QE65	P26842
OG0002785	Human.UniProt.renamed	A4VCG2, Q801Y4	P29373
OG0002786	Human.UniProt.renamed	A0A8M2B975	P22314, P41226
OG0002787	Human.UniProt.renamed	E7FDQ5, Q802U4	Q14444
OG0002788	Human.UniProt.renamed	A2BGT0, A0A8M6YWZ3	Q70CQ3
OG0002789	Human.UniProt.renamed	Q6NZT6, Q7T2G1	Q7Z5L9
OG0002790	Human.UniProt.renamed	A0A8M2BFY9, Q63ZW2	Q9BRQ6
OG0002791	Human.UniProt.renamed	A0A8M9QDM8, A0A8M2B947	Q9BVI0
OG0002793	Human.UniProt.renamed	Q6PBS8	Q9Y6H1, Q5T1J5
OG0002794	Human.UniProt.renamed	A0A8M3AJA6	Q92626, A1KZ92
OG0002795	Human.UniProt.renamed	A0A8M3B041, A0A8M3APH0	A6NED2
OG0002796	Human.UniProt.renamed	B0JZL7	O14638, P22413
OG0002797	Human.UniProt.renamed	A0A8M9PZA7	Q8N6Y0, P23508
OG0002798	Human.UniProt.renamed	A0A8M1RLE7, A0A8M1N4V2	P32314
OG0002799	Human.UniProt.renamed	A0A8M2B217, A0A8M2B475	P53365
OG0002800	Human.UniProt.renamed	Q9DF30, Q6NYU5	P57773
OG0002801	Human.UniProt.renamed	Q1LXZ9, B3DIV1	P84550
OG0002802	Human.UniProt.renamed	A0A8M9PZ66	Q6UVM3, Q5JUK3
OG0002803	Human.UniProt.renamed	B8JI71, A0A8M3AZD3	Q5T1H1
OG0002804	Human.UniProt.renamed	A0A8M9Q9W5, F1QPN5	Q86UX7
OG0002805	Human.UniProt.renamed	Q5BLI7, A0A8M1P444	Q8TBE7
OG0002806	Human.UniProt.renamed	Q1RLW1, F1QU45	Q9BYV7
OG0002807	Human.UniProt.renamed	P85001, A0A8M3AZL6	O15078
OG0002808	Human.UniProt.renamed	A0A8M9QAH1, Q90410	P15976
OG0002809	Human.UniProt.renamed	Q5XJD3, Q5RHJ8	Q6UN15
OG0002810	Human.UniProt.renamed	E7FG14, A0A8M2BBE5	Q71RH2
OG0002811	Human.UniProt.renamed	A8WFW7, A0A8M9PRD6	Q9BZS1
OG0002813	Human.UniProt.renamed	A1YQE3	O43614, O43613
OG0002814	Human.UniProt.renamed	A1A5X5	Q4G0M1, Q5T7M4
OG0002815	Human.UniProt.renamed	A0A8M1QHY3	Q5TD94, Q9H0K4
OG0002816	Human.UniProt.renamed	B3DK35	Q6DJT9, Q9UPG8
OG0002817	Human.UniProt.renamed	A0A8M9PKI0	Q8IWY4, Q8IX30
OG0002818	Human.UniProt.renamed	F1QG08	Q9HAZ1, P49759
OG0002819	Human.UniProt.renamed	B8A4D7, Q1LXR3	Q9P2E9
OG0002820	Human.UniProt.renamed	A0A8M3AYE5, E7F8C7	Q9UHR4
OG0002821	Human.UniProt.renamed	F6NLH0, A0A8M6YXH7	Q9UPZ3
OG0002822	Human.UniProt.renamed	A8WFT6, A0A2R8PV77	A2RU49
OG0002823	Human.UniProt.renamed	Q7T3L3	Q58FF3, P14625
OG0002824	Human.UniProt.renamed	E7F079, A7MD59	P30519
OG0002825	Human.UniProt.renamed	A8WH77	P32927, Q14627
OG0002826	Human.UniProt.renamed	Q5C8U6	P47872, P41586
OG0002827	Human.UniProt.renamed	C0RW38	O60674, P52333
OG0002828	Human.UniProt.renamed	Q7ZVM7, B8A655	Q13488
OG0002829	Human.UniProt.renamed	F1RA83	Q6UXL0, Q13651
OG0002830	Human.UniProt.renamed	A3QJZ0, B9P4N4	Q96P88
OG0002831	Human.UniProt.renamed	E7F5M1, A0A8M2BLR1	Q9UK96
OG0002832	Human.UniProt.renamed	Q1RLV2, E7F301	P00740
OG0002833	Human.UniProt.renamed	E7F4S7	P17787, P30926
OG0002834	Human.UniProt.renamed	Q9DDG2, Q9W767	P21741
OG0002835	Human.UniProt.renamed	A0A8M9PV47, A0A0G2KLK6	Q2KHR2
OG0002836	Human.UniProt.renamed	D3TZW2	Q8NFJ6, Q8TCW9
OG0002837	Human.UniProt.renamed	A0A0R4IGJ6, E7F3J0	Q96SB3
OG0002838	Human.UniProt.renamed	A0A8M9PLM5, A0A8M9Q2B5	O75420
OG0002839	Human.UniProt.renamed	Q7SYD5	O94979, Q9NQW1
OG0002840	Human.UniProt.renamed	Q6IQT7, A0A0R4ITZ5	P49918
OG0002841	Human.UniProt.renamed	O73736	P37023, Q04771
OG0002842	Human.UniProt.renamed	Q6TEP1	Q658Y4, P0C866
OG0002843	Human.UniProt.renamed	B0S776, E9QH67	Q96S65
OG0002844	Human.UniProt.renamed	A0A8M2B5X7, F1QCX2	Q9ULI4
OG0002845	Human.UniProt.renamed	F1QEZ8, A0A8M1RLN8	O14594
OG0002846	Human.UniProt.renamed	A0A8M6YZX7	O75843, O43747
OG0002847	Human.UniProt.renamed	Q5VJN3, Q5VJN2	P48146
OG0002848	Human.UniProt.renamed	A0A2R8Q8R8	Q13976, Q96M20
OG0002849	Human.UniProt.renamed	Q803X6	Q14151, Q15424
OG0002850	Human.UniProt.renamed	E7EXP5, F1QJF5	Q2VPJ9
OG0002851	Human.UniProt.renamed	A0A8M1PS24	Q5VYS8, Q5TAX3
OG0002852	Human.UniProt.renamed	Q7ZUI2	Q7L523, Q5VZM2
OG0002853	Human.UniProt.renamed	A2BF66	Q86X24, Q8N7B1
OG0002854	Human.UniProt.renamed	B8A5W4, A0A8M3B0V2	Q8N5I4
OG0002855	Human.UniProt.renamed	B0JZB1, E7F4X8	Q96AW1
OG0002856	Human.UniProt.renamed	A0A8M3AIG3, A0A8M3AX32	Q96DH6
OG0002857	Human.UniProt.renamed	A0A8M6Z878, A0A8M3BAV1	Q96J84
OG0002858	Human.UniProt.renamed	B0S7J7	Q9BQI9, Q9NQ35
OG0002859	Human.UniProt.renamed	Q0GKD6	Q14164, Q9UHD2
OG0002860	Human.UniProt.renamed	A0A8M9PH33, D4P8S0	O43581
OG0002861	Human.UniProt.renamed	A0A8M3B2M7, Q9DFC9	P08620
OG0002862	Human.UniProt.renamed	D2JGP1, F6NZK1	P15260
OG0002863	Human.UniProt.renamed	A0A8M2B4F9, A0A8M3B2W5	P43121
OG0002864	Human.UniProt.renamed	Q5XJ41, E7FDD4	P53801
OG0002865	Human.UniProt.renamed	P0CAT2, Q08CI8	Q96DW6
OG0002866	Human.UniProt.renamed	Q7T3P8	Q96JP0, Q9BSK4
OG0002867	Human.UniProt.renamed	A0A8M2BJS4	Q9BZF2, Q9BZF3
OG0002868	Human.UniProt.renamed	A0A8M1RP26, Q56A52	Q9UBU6
OG0002869	Human.UniProt.renamed	A0A8M9PWA7, A0A8N7UT40	P10643
OG0002870	Human.UniProt.renamed	O42276, A0A8M2BFA0	P14859
OG0002871	Human.UniProt.renamed	B8A4H6	Q8N0Y7, P18669
OG0002872	Human.UniProt.renamed	Q6NX89	Q6IS14, P63241
OG0002873	Human.UniProt.renamed	A8T6P4	Q13875, Q8NFW9
OG0002874	Human.UniProt.renamed	A0A8N7T6N8	Q3SY00, Q3B820
OG0002875	Human.UniProt.renamed	A0A8M9PFU5	Q5W5X9, Q6PF05
OG0002876	Human.UniProt.renamed	Q803M0	Q6ZSY5, Q86XI6
OG0002877	Human.UniProt.renamed	Q66I74, Q7ZVJ8	Q96S19
OG0002878	Human.UniProt.renamed	E7F1U3, A0A8M2B1X4	O75382
OG0002879	Human.UniProt.renamed	B8JL58, Q6DG28	O75462
OG0002880	Human.UniProt.renamed	Q8AWY9	P31268, P09629
OG0002881	Human.UniProt.renamed	F1QJN9	P15088, P15086
OG0002882	Human.UniProt.renamed	Q561Z2, F1R1N1	P19532
OG0002883	Human.UniProt.renamed	E4W698, E4W699	P30559
OG0002884	Human.UniProt.renamed	A0A8M9PR98, A2THY5	Q13505
OG0002885	Human.UniProt.renamed	A0A8M6Z3P0, A0A8M2BEK9	Q5T6F2
OG0002886	Human.UniProt.renamed	A0A2R8QM83	Q9H061, Q8IUX1
OG0002887	Human.UniProt.renamed	A2BGU8	Q9UH03, Q8IYM1
OG0002888	Human.UniProt.renamed	A2BFG9	P57075, Q8TF42
OG0002889	Human.UniProt.renamed	A0A8M1RPE3, A5PLH4	Q9BX74
OG0002890	Human.UniProt.renamed	A0A8M6YYW5	O00562, Q9BZ72
OG0002891	Human.UniProt.renamed	Q7SXS8	Q9NWY4, A8MVJ9
OG0002892	Human.UniProt.renamed	A0A8M9Q5Q8, A0A8M2BDK6	O75147
OG0002893	Human.UniProt.renamed	A0A8M9PYM7	Q13304, Q96P67
OG0002894	Human.UniProt.renamed	C0H5W1, A0A060Q6E4	Q2UY09
OG0002895	Human.UniProt.renamed	A0A8M9QMZ2, A9JRX0	Q68DK7
OG0002896	Human.UniProt.renamed	F1QNA7	Q8TBR4, Q8WVM7
OG0002897	Human.UniProt.renamed	A0A8M6Z2K0	P32519, Q99607
OG0002898	Human.UniProt.renamed	Q9I9N8, E7F006	Q9BZ71
OG0002899	Human.UniProt.renamed	A0A8M9PE75, B0V1K7	P51686
OG0002901	Human.UniProt.renamed	A9ZPE0, B3DGM0	P78556
OG0002902	Human.UniProt.renamed	Q08BP9	Q16534, Q10586
OG0002903	Human.UniProt.renamed	A0A8M9P716, E7F246	Q5JR59
OG0002904	Human.UniProt.renamed	A0A8M2BLI6, A0A8M9PGJ4	Q5VST9
OG0002905	Human.UniProt.renamed	F1QD35, A0A8M1RFZ7	Q643R3
OG0002906	Human.UniProt.renamed	Q1LWE6, A0A8M9Q8N0	Q6UXY1
OG0002907	Human.UniProt.renamed	B8A609	Q86TM3, Q9NXZ2
OG0002908	Human.UniProt.renamed	A0A8M9QDV5, E9QJN3	Q8WXI4
OG0002909	Human.UniProt.renamed	A0A8M3AZN3	Q96BY7, Q2TAZ0
OG0002910	Human.UniProt.renamed	B8JLQ0, A0A2R8Q8D7	Q9HD34
OG0002912	Human.UniProt.renamed	E7F078, E7F922	A8MVW0
OG0002913	Human.UniProt.renamed	Q6NV25, Q6DI05	P55854
OG0002914	Human.UniProt.renamed	Q568W5, Q9I9N3	Q07820
OG0002915	Human.UniProt.renamed	A0A8M9PF71, A0A8M2BLG3	Q68CR1
OG0002916	Human.UniProt.renamed	A0A8M3AN15	Q6PCB5, Q5VWQ0
OG0002917	Human.UniProt.renamed	A0A8M2BLH5, A0A8M9P9K9	Q709C8
OG0002918	Human.UniProt.renamed	Q6P0J1, Q568A5	Q96HZ4
OG0002919	Human.UniProt.renamed	A0A8M2B208	Q9UIA9, Q9H2T7
OG0002920	Human.UniProt.renamed	A0A8M3AVS0	Q9UM21, A6NG13
OG0002921	Human.UniProt.renamed	A0A8M9PQ19, A0A8M3AXH3	C9JL84
OG0002922	Human.UniProt.renamed	Q3B732	O00479, P05204
OG0002923	Human.UniProt.renamed	Q7ZUY4, Q7ZUS2	P80303
OG0002924	Human.UniProt.renamed	A0A0R4IS83, A0A8M1RKG7	Q15063
OG0002925	Human.UniProt.renamed	Q0P4B6, Q0P484	Q6JBY9
OG0002926	Human.UniProt.renamed	F1R609, A0A8N7TAJ7	Q92766
OG0002927	Human.UniProt.renamed	A0A2R9YJG4, E7FAN7	Q9C0C6
OG0002928	Human.UniProt.renamed	A7E288, Q503N6	O43761
OG0002929	Human.UniProt.renamed	E7F179, A0A8M3AS26	O60299
OG0002930	Human.UniProt.renamed	Q6DH03, Q08BH0	O75896
OG0002931	Human.UniProt.renamed	A0A8M6Z9W6, Q1RLS1	O95072
OG0002932	Human.UniProt.renamed	F1Q5D8, A0A8M9QLE5	P04004
OG0002933	Human.UniProt.renamed	A4FUN4	Q6Q4G3, P15144
OG0002934	Human.UniProt.renamed	A0A8M9QDJ9, A0A8M9Q1E3	Q01484
OG0002935	Human.UniProt.renamed	Q0P433, E7F042	Q14119
OG0002936	Human.UniProt.renamed	Q6NYK3	Q2MJR0, Q7Z698
OG0002937	Human.UniProt.renamed	E7FAN3	Q9H9D4, Q96MM3
OG0002938	Human.UniProt.renamed	A0A8M3BEL9, A0A8M3AT27	Q96PX6
OG0002939	Human.UniProt.renamed	E9QCM2, A2BGH3	Q99999
OG0002940	Human.UniProt.renamed	A0A8M9PWJ4, A0A8M1NAV1	O75575
OG0002941	Human.UniProt.renamed	A0A8M2BK93, A0A8M2BK69	P09529
OG0002942	Human.UniProt.renamed	A0A8M1QUZ1, X1WDB0	P78559
OG0002943	Human.UniProt.renamed	A4QP04	P25325, Q16762
OG0002944	Human.UniProt.renamed	E7FEY8, A0A8M2BIA2	Q5SYB0
OG0002945	Human.UniProt.renamed	Q563W7	Q9BX84, Q96QT4
OG0002946	Human.UniProt.renamed	A3KPA0, A0A8M1Q7B3	Q9BX67
OG0002947	Human.UniProt.renamed	L0ANA2	Q9Y4A8, Q14494
OG0002948	Human.UniProt.renamed	A0A0R4J755	P08631, P07948
OG0002949	Human.UniProt.renamed	A8KBL5, A0A8M9PP68	Q08AI6
OG0002952	Human.UniProt.renamed	A0A8M3ANQ9, A0A8M2BB10	Q86SE5
OG0002953	Human.UniProt.renamed	A0A8M1PRY0	Q86V97, Q8WVZ9
OG0002954	Human.UniProt.renamed	F1QJ13, A5D6R3	Q8N3E9
OG0002956	Human.UniProt.renamed	B5MF72	Q96NX5, Q8IU85
OG0002957	Human.UniProt.renamed	Q08CJ4, Q7ZUU7	Q9UNW1
OG0002958	Human.UniProt.renamed	Q6WQ25, Q6WQ24	P01270
OG0002959	Human.UniProt.renamed	A8KC22	Q8WVV9, P14866
OG0002960	Human.UniProt.renamed	Q7SZM1, B0R182	Q93086
OG0002961	Human.UniProt.renamed	A0A8M9PMY1, B3DGM2	Q96GE6
OG0002962	Human.UniProt.renamed	A0A8M9PD30	A2A3N6, Q99755
OG0002963	Human.UniProt.renamed	A0A8M2BG11	Q9UBC5, O43795
OG0002964	Human.UniProt.renamed	A0A8M9PUP4, A0A8M3AV52	Q9UGV2
OG0002965	Human.UniProt.renamed	E7FB53, A0A8M1QL30	O15375
OG0002966	Human.UniProt.renamed	A0A0R4IT09	P08559, P29803
OG0002967	Human.UniProt.renamed	A0A8M9P6I2, F1QDA1	P16112
OG0002968	Human.UniProt.renamed	Q803K1	Q8WW22, P31689
OG0002969	Human.UniProt.renamed	A0A8M9Q0N4	Q9UN79, P35711
OG0002970	Human.UniProt.renamed	A0A8M6Z431, E7FCS5	P56975
OG0002971	Human.UniProt.renamed	A0A8M2B7A4, F1RDH8	Q03169
OG0002972	Human.UniProt.renamed	A0A8M1QHE8	Q15696, Q15695
OG0002973	Human.UniProt.renamed	A0A8M3AUU8	Q16842, Q11201
OG0002974	Human.UniProt.renamed	A0A8M6Z0Y4, A0A8M9PWE1	Q8NEE8
OG0002975	Human.UniProt.renamed	E7FEJ0, A0A8M2BJK9	Q92574
OG0002976	Human.UniProt.renamed	E7F5Q9, A0A8M1NPS8	Q9BTD3
OG0002977	Human.UniProt.renamed	A0A8M1PZB9, A0A8M9Q0Y0	Q9H1Z9
OG0002978	Human.UniProt.renamed	A0A8M2BEM8	Q9NQZ7, Q9Y227
OG0002979	Human.UniProt.renamed	A0A8M6Z1G2, Q20HN0	P34972
OG0002980	Human.UniProt.renamed	A0A8M9PC12	Q8IWB6, P42685
OG0002981	Human.UniProt.renamed	A0A8M9PTL4, X1WBL7	P49763
OG0002982	Human.UniProt.renamed	A7MBL8	Q6P5Z2, Q16513
OG0002983	Human.UniProt.renamed	A0A8M9PWS7, A0A8M9Q3L7	Q8IXV7
OG0002984	Human.UniProt.renamed	A0A8M1NG75	Q9H992, Q8NA82
OG0002985	Human.UniProt.renamed	F6NMJ1, A0A8M1Q1X9	Q96B18
OG0002986	Human.UniProt.renamed	A0A8M3ASS7	Q8TBF8, Q96LP2
OG0002987	Human.UniProt.renamed	F1R7A2	Q96TA1, Q86XR2
OG0002988	Human.UniProt.renamed	A0A8M9PWV9	O75173, Q9UHI8
OG0002989	Human.UniProt.renamed	A0A8M3AS23, A0A8M9Q315	Q9ULV3
OG0002990	Human.UniProt.renamed	F1QAU7, A0A8M1RMJ8	O15228
OG0002991	Human.UniProt.renamed	A0A2R8QCE4, A9JR82	O43278
OG0002992	Human.UniProt.renamed	A0A0R4IHW0, E9QEB3	P06307
OG0002993	Human.UniProt.renamed	Q7ZV29	P07205, P00558
OG0002994	Human.UniProt.renamed	Q9DE25, Q9DE24	Q12948
OG0002995	Human.UniProt.renamed	A0A8M2BL86, Q6NUT9	Q9BTV4
OG0002996	Human.UniProt.renamed	A0A8M3ATY0	Q9P2J2, Q9UPX0
OG0002997	Human.UniProt.renamed	Q566M8, B8A6H5	Q9ULK6
OG0002998	Human.UniProt.renamed	I3IS56	Q9UKJ3, A4D1E1
OG0002999	Human.UniProt.renamed	Q642G9	Q14982, Q9P121
OG0003000	Human.UniProt.renamed	A0A8M2BHZ7, Q1L899	Q2T9L4
OG0003001	Human.UniProt.renamed	B8A6I4	Q86V87, Q5W0V3
OG0003002	Human.UniProt.renamed	E7F958	Q8NFU7, Q6N021
OG0003004	Human.UniProt.renamed	E7EYK3	Q8TEQ0, Q8IUI4
OG0003005	Human.UniProt.renamed	Q1ED06, B3DJM1	Q8IX15
OG0003006	Human.UniProt.renamed	Q4V8X8, A0A0G2KLU8	Q8N8R3
OG0003007	Human.UniProt.renamed	A0A8M1QHM0	Q96AA8, Q96N16
OG0003008	Human.UniProt.renamed	A0A2R8Q8A6, A0A2R8QLP7	Q9C0K0
OG0003009	Human.UniProt.renamed	Q5P991, A0A8M9QEC7	Q9NSC7
OG0003010	Human.UniProt.renamed	F1R5S7, O73784	Q9UJU5
OG0003011	Human.UniProt.renamed	E7F640	O15265, Q9ULK2
OG0003012	Human.UniProt.renamed	Q803M7, Q7ZWH4	O15511
OG0003013	Human.UniProt.renamed	F1QIK6	P10092, P01258
OG0003014	Human.UniProt.renamed	A0A8M9PGA1	P28907, Q10588
OG0003015	Human.UniProt.renamed	A0A8M9QKI0	Q9UIL8, Q8IWS0
OG0003016	Human.UniProt.renamed	E7FBX1	P82987, Q8N6G6
OG0003017	Human.UniProt.renamed	B0UYH7, A0A8M3BAD7	Q92990
OG0003018	Human.UniProt.renamed	A0A0G2KCJ6	Q9H0C5, Q9BX70
OG0003019	Human.UniProt.renamed	B7ZDB5	Q9BXN1, P21810
OG0003020	Human.UniProt.renamed	E7EZ90	P52888, Q9BYT8
OG0003021	Human.UniProt.renamed	F1R383, F1R788	P32241
OG0003022	Human.UniProt.renamed	A0A8M9P5B3, E7FBR0	Q13835
OG0003023	Human.UniProt.renamed	A0A8M1NVX1	Q5VUY0, Q5VUY2
OG0003024	Human.UniProt.renamed	X1WDI8, A0A8M9PZ46	Q6UX15
OG0003025	Human.UniProt.renamed	E7F9D5, A3KPR5	Q8NBI2
OG0003026	Human.UniProt.renamed	A0A8M2BKI4	Q9BZA8, Q9BZA7
OG0003027	Human.UniProt.renamed	A0A8M2B2S6, A0A8M1QUW7	Q9UPA5
OG0003028	Human.UniProt.renamed	A0A8M9QDB3, A0A8M2BDP4	Q9Y2G8
OG0003029	Human.UniProt.renamed	F1QBE9, A0A2R8QR67	O00585
OG0003030	Human.UniProt.renamed	E7F4P8	O14654, P35568
OG0003031	Human.UniProt.renamed	Q6NUZ3	O43390, O60506
OG0003032	Human.UniProt.renamed	Q7SXU0, Q803P1	O75822
OG0003033	Human.UniProt.renamed	Q05159, E7F266	P11161
OG0003034	Human.UniProt.renamed	G4XPM4, F6NXD5	P29966
OG0003035	Human.UniProt.renamed	B3DJ34	P48426, P78356
OG0003036	Human.UniProt.renamed	A0A8M3AL98, A0A8M3AJ68	Q17R60
OG0003037	Human.UniProt.renamed	A4QP16, A0JMC9	Q6IQ32
OG0003038	Human.UniProt.renamed	F1Q881, E7EXH9	Q6NUI6
OG0003039	Human.UniProt.renamed	A0A8M2B3A7, A0A8M2BKQ6	Q711Q0
OG0003040	Human.UniProt.renamed	F1QA47, A0A8M1QR01	Q96HB5
OG0003041	Human.UniProt.renamed	A0A8M6YUC8	Q8IVF2, Q9BXM0
OG0003042	Human.UniProt.renamed	Q7ZU80, Q6PFM4	Q9C0E8
OG0003043	Human.UniProt.renamed	A0A8M6Z9D3	Q9H8K7, Q499Y3
OG0003044	Human.UniProt.renamed	A0A8M2BG36	O00571, O15523
OG0003045	Human.UniProt.renamed	Q6E2N4, A0A0R4ICG0	O15534
OG0003046	Human.UniProt.renamed	F1QXS5, A9JRY1	O94842
OG0003047	Human.UniProt.renamed	E7FBK8	Q96EU7, P0DN25
OG0003048	Human.UniProt.renamed	A0A8M1QLC1, A0A8M9PKG9	Q63HR2
OG0003049	Human.UniProt.renamed	Q58EK0	Q8IXX5, Q1AE95
OG0003050	Human.UniProt.renamed	A0A8M1PSH3, X1WBB5	Q8N966
OG0003051	Human.UniProt.renamed	A0A2R8QEF3, E7FF45	Q99788
OG0003052	Human.UniProt.renamed	A0A8M3AN14	Q9UPW8, O14795
OG0003053	Human.UniProt.renamed	A0A8M6YZS5, A0A8M9PF48	O00533
OG0003054	Human.UniProt.renamed	E9QBY8, Q503H8	O60636
OG0003055	Human.UniProt.renamed	A0A8M1REP1	P00748, Q04756
OG0003056	Human.UniProt.renamed	Q5U3N6, U5HSN7	P06850
OG0003057	Human.UniProt.renamed	Q6PGY7	P0C7P0, Q9NZ45
OG0003058	Human.UniProt.renamed	A0A8M3B396, A0A8M9PUG5	P10911
OG0003059	Human.UniProt.renamed	Q7T2A9	P18054, P16050
OG0003060	Human.UniProt.renamed	Q6NUY0	P27144, A0A8I5KW96
OG0003061	Human.UniProt.renamed	Q6P3K7	P49674, P48730
OG0003062	Human.UniProt.renamed	Q7ZYZ9, E7F6J8	P78325
OG0003063	Human.UniProt.renamed	Q6P3H0, F1RCP3	Q07352
OG0003064	Human.UniProt.renamed	A8WGC2, Q08C53	Q8ND07
OG0003065	Human.UniProt.renamed	A0A8M1RH25, A0A8M1P9M3	Q9C0D0
OG0003066	Human.UniProt.renamed	Q7ZW78	Q86Y13, Q9P0P0
OG0003067	Human.UniProt.renamed	A0A8M3AVF4, A0A8N7UW05	A8MY62
OG0003068	Human.UniProt.renamed	A0A8M9QA09	P08651, O00712
OG0003069	Human.UniProt.renamed	A0A8M3BC62	P21127, Q9UQ88
OG0003070	Human.UniProt.renamed	A0A8M1NIJ0, A0A8M3AM67	Q13506
OG0003071	Human.UniProt.renamed	Q802V1	O75177, Q15532
OG0003072	Human.UniProt.renamed	A0A8M9PZ95	Q9BYT9, Q32M45
OG0003073	Human.UniProt.renamed	A0A8M9PW09	P43243, Q5T481
OG0003074	Human.UniProt.renamed	A0A8M2BEQ4	Q96DR7, Q5VV41
OG0003075	Human.UniProt.renamed	A0A8M1PV37	Q7RTU0, Q7RTU1
OG0003076	Human.UniProt.renamed	A0A8M1RSS4, A0A8M9PR48	Q9BYS8
OG0003077	Human.UniProt.renamed	A0A8M1RMZ1, Q7SYB5	Q9H4E7
OG0003078	Human.UniProt.renamed	A0A8M3B2M9	Q9H4R4, O75376
