Orthogroup	Species	Human.UniProt.renamed	Orthologs
OG0003394	Zebrafish.UniProt.renamed	Q13609	Q6DH05, F1QBE2
OG0003395	Zebrafish.UniProt.renamed	Q70EL4	A0A8M3ATB5, E7FD00
OG0003396	Zebrafish.UniProt.renamed	Q7Z2Z2	A0A8M9PWH0, A0A0R4ITN4
OG0003397	Zebrafish.UniProt.renamed	Q9NXH8	Q568B8, A7MBW1
OG0003398	Zebrafish.UniProt.renamed	Q9UJ96, Q9UIX4	A8WG04
OG0003399	Zebrafish.UniProt.renamed	Q14BN4	A0A8M2B8Z6, A0A2R8QQ99
OG0003400	Zebrafish.UniProt.renamed	Q641Q3	A0A8M1PVC4, Q7ZV46
OG0003401	Zebrafish.UniProt.renamed	Q6ZUM4	A0A8M2B2D3, E7F1R9
OG0003402	Zebrafish.UniProt.renamed	Q9NQX5	A0A8M9PRN9, B3DJ13
OG0003403	Zebrafish.UniProt.renamed	A6NNM8, Q8N841	A8CVX7
OG0003404	Zebrafish.UniProt.renamed	Q9H3Z7, O95870	A9JR90
OG0003405	Zebrafish.UniProt.renamed	Q06210, O94808	Q3S344
OG0003406	Zebrafish.UniProt.renamed	Q6ULP2	A0A8M3AIZ7, A0A8M1NRF7
OG0003407	Zebrafish.UniProt.renamed	Q96P69, Q8NDV2	E7FGY4
OG0003408	Zebrafish.UniProt.renamed	Q9BX97	F1Q8W5, B0BLX9
OG0003409	Zebrafish.UniProt.renamed	Q9NSC5	A0A8M9PSF3, Q7ZVW5
OG0003410	Zebrafish.UniProt.renamed	P25774	A0A8M3ATF0, Q502A6
OG0003411	Zebrafish.UniProt.renamed	Q9NR28	Q7T3E1, A0A8M1NZ47
OG0003412	Zebrafish.UniProt.renamed	Q9P0U4	Q6PGZ4, Q7SZE4
OG0003413	Zebrafish.UniProt.renamed	O94818	A0A8M3AMS1, F1QGF6
OG0003414	Zebrafish.UniProt.renamed	P41161	A0A2R8QC01, B0S6S7
OG0003415	Zebrafish.UniProt.renamed	Q53LP3	A0A0R4IS55, A0A8M3AQY4
OG0003416	Zebrafish.UniProt.renamed	Q8IYB4	A0A8M3AQ86, A0A8M9PRE9
OG0003417	Zebrafish.UniProt.renamed	Q15025, Q96KP6	A1L1N2
OG0003418	Zebrafish.UniProt.renamed	Q99426	Q803K6, A0A8M9PDC4
OG0003419	Zebrafish.UniProt.renamed	Q9P1Z2	F1RBA9, A2BGD5
OG0003420	Zebrafish.UniProt.renamed	P16157	A0A8M9Q355, A0A8M9PDB9
OG0003421	Zebrafish.UniProt.renamed	P35228	A9JNR5, A2BIN8
OG0003422	Zebrafish.UniProt.renamed	P48552	F1QMY9, A0A8M2BGF6
OG0003423	Zebrafish.UniProt.renamed	P56134	F6P873, A0A8M9PX83
OG0003424	Zebrafish.UniProt.renamed	Q15569, Q96S53	A2VCY1
OG0003425	Zebrafish.UniProt.renamed	Q8NFA2	Q08CM7, F6NRK2
OG0003426	Zebrafish.UniProt.renamed	Q92934	A0A8M2B8K5, Q4V925
OG0003427	Zebrafish.UniProt.renamed	Q9Y2H0	A0A8M9PLE1, A0A8N7TFM8
OG0003428	Zebrafish.UniProt.renamed	Q9Y6Y1	A0A8M9P5K3, A0A8M6Z970
OG0003429	Zebrafish.UniProt.renamed	A0A0G2JN53, Q9UPP2	A0A8M3ART2
OG0003430	Zebrafish.UniProt.renamed	A7KAX9	A0A8M3ALJ2, F1RDK4
OG0003431	Zebrafish.UniProt.renamed	P01189	A0A8M1NCD8, Q7ZT18
OG0003432	Zebrafish.UniProt.renamed	P26006	A0A8M6YWS7, D7PS99
OG0003433	Zebrafish.UniProt.renamed	Q8N350	A0A8N7UUZ9, A0A8M2BFS0
OG0003434	Zebrafish.UniProt.renamed	Q9BZQ2, Q8NEM2	Q6PFI4
OG0003435	Zebrafish.UniProt.renamed	Q8WWM9	Q8UUR3, Q575S8
OG0003436	Zebrafish.UniProt.renamed	Q96RK0	A0A8M1RP12, A0A8M2BKS3
OG0003437	Zebrafish.UniProt.renamed	Q9BXK5	H0WF17, Q1LX53
OG0003438	Zebrafish.UniProt.renamed	O75874	A0A8M9PY98, Q802Y2
OG0003439	Zebrafish.UniProt.renamed	Q12947	E7FER3, A4IGF4
OG0003440	Zebrafish.UniProt.renamed	Q2TBE0	Q3LSS0, A0A8M9PIF7
OG0003441	Zebrafish.UniProt.renamed	O00587, Q8NES3	Q8JHF2
OG0003442	Zebrafish.UniProt.renamed	Q99729	Q6NYA1, Q6NYU8
OG0003443	Zebrafish.UniProt.renamed	Q9NYR8	Q6PC70, F1QT23
OG0003444	Zebrafish.UniProt.renamed	A6NEC2, P55786	A0A8M1NSE3
OG0003445	Zebrafish.UniProt.renamed	P02549, Q13813	A0A8M9PQF2
OG0003446	Zebrafish.UniProt.renamed	Q9HBZ2, P27540	Q9DG12
OG0003447	Zebrafish.UniProt.renamed	Q10571	B8JKI7, F1RC69
OG0003448	Zebrafish.UniProt.renamed	Q1MSJ5	A0A8M6Z479, A0A8N7TEP9
OG0003449	Zebrafish.UniProt.renamed	Q8TB03	E7F0Y9, A0A8M9P6H5
OG0003450	Zebrafish.UniProt.renamed	Q9H3Q1	Q6GMK1, E7F7G6
OG0003451	Zebrafish.UniProt.renamed	Q9Y2L1	A0A8M9Q4I4, E7FE01
OG0003452	Zebrafish.UniProt.renamed	P54826	A9JRD9, A0JML1
OG0003453	Zebrafish.UniProt.renamed	Q96QU6, Q4AC99	F1QMK2
OG0003454	Zebrafish.UniProt.renamed	Q7LFL8	A0A8M3AX14, A0A8M9PZH1
OG0003455	Zebrafish.UniProt.renamed	Q8N5C1	A4FUN9, A0A8M9NZR5
OG0003456	Zebrafish.UniProt.renamed	Q9H2H0	A0A8M1RHY0, A0A0R4IDC9
OG0003457	Zebrafish.UniProt.renamed	P57059, A0A0B4J2F2	B0S6K0
OG0003458	Zebrafish.UniProt.renamed	Q7Z7C8	Q6P0T2, A0A8M9PE65
OG0003459	Zebrafish.UniProt.renamed	Q8IUK8	B3DK67, A5PKT3
OG0003460	Zebrafish.UniProt.renamed	Q969E1	E9QG21, B3DGL6
OG0003461	Zebrafish.UniProt.renamed	Q9H3T2	B8JMB1, E3W9A6
OG0003462	Zebrafish.UniProt.renamed	Q9H5P4	A0A8M3AYZ6, D6BNA9
OG0003463	Zebrafish.UniProt.renamed	Q9NQU5	E7FE80, A5PEY8
OG0003465	Zebrafish.UniProt.renamed	Q9GZZ0, P49639	Q98SI1
OG0003466	Zebrafish.UniProt.renamed	P57796	A0A8M9QIQ8, A0A2R8QKE6
OG0003467	Zebrafish.UniProt.renamed	Q15223	A0A8M2B8A6, B0JYH6
OG0003468	Zebrafish.UniProt.renamed	Q86Y91, Q8NI77	Q7ZUW9
OG0003469	Zebrafish.UniProt.renamed	Q8IY34, Q8N697	A0A0R4ICA5
OG0003470	Zebrafish.UniProt.renamed	Q8TF08, P24311	B3DJA6
OG0003471	Zebrafish.UniProt.renamed	Q8WW12	B8JKI0, A0A8M9PPD2
OG0003472	Zebrafish.UniProt.renamed	Q9H400	A0A8M1Q285, A0A8M2BEI3
OG0003473	Zebrafish.UniProt.renamed	Q9H7X2	B3DI09, E9QBF6
OG0003474	Zebrafish.UniProt.renamed	Q5T9Z0, Q9NWC5	Q503F7
OG0003475	Zebrafish.UniProt.renamed	P11473	Q9PTN2, Q1L673
OG0003476	Zebrafish.UniProt.renamed	Q96JA3, O95397	Q5U3N0
OG0003477	Zebrafish.UniProt.renamed	O00626	A0A8M3AZJ3, A0A0R4IFJ9
OG0003478	Zebrafish.UniProt.renamed	Q07699	B3F0A3, Q06W32
OG0003479	Zebrafish.UniProt.renamed	Q5VZ46	A0A8M3AN32, A0A8M9PJP1
OG0003480	Zebrafish.UniProt.renamed	Q8N3Y7	Q7SZ49, A8E7S3
OG0003481	Zebrafish.UniProt.renamed	Q9Y5Q3	Q6P5N3, Q98UK5
OG0003482	Zebrafish.UniProt.renamed	P05093	A0A8M1PIC7, A7U483
OG0003483	Zebrafish.UniProt.renamed	Q9P2A4, Q8IZP0	A0A286YAJ7
OG0003484	Zebrafish.UniProt.renamed	Q9NPA2	E7F1N5, A0A8M9PJH5
OG0003485	Zebrafish.UniProt.renamed	Q17RC7	A0A0R4IIR8, A0A8M1NSX5
OG0003486	Zebrafish.UniProt.renamed	Q6PFW1, O43314	A0A8M3BCT9
OG0003487	Zebrafish.UniProt.renamed	Q99808	F1QAM5, A0A140LG26
OG0003488	Zebrafish.UniProt.renamed	Q9NXR5	Q08BM2, Q803R0
OG0003489	Zebrafish.UniProt.renamed	O60806	A0A8M9PXW3, A0A8M1RSL4
OG0003490	Zebrafish.UniProt.renamed	O95264	A0A8M9PI87, A0A8M9PJB8
OG0003491	Zebrafish.UniProt.renamed	Q8IUY3	A0A8M6Z513, A0A8M2BE55
OG0003492	Zebrafish.UniProt.renamed	Q96RK1	A8E5L7, Q08CF6
OG0003493	Zebrafish.UniProt.renamed	Q9HCE9	A0A8M1RQT0, A0A8N7UT44
OG0003494	Zebrafish.UniProt.renamed	Q9Y2T2, P53677	Q6IQP9
OG0003495	Zebrafish.UniProt.renamed	Q13571, Q15012	Q5TYX5
OG0003496	Zebrafish.UniProt.renamed	Q8NB14, Q9P2H5	F1RBA1
OG0003497	Zebrafish.UniProt.renamed	Q9Y624	A3KNL2, Q66I72
OG0003498	Zebrafish.UniProt.renamed	Q13202	F1QVZ9, A0A8M1RKU2
OG0003499	Zebrafish.UniProt.renamed	Q3MHD2	Q6NSN1, Q6PBA2
OG0003500	Zebrafish.UniProt.renamed	O75964, Q7Z4Y8	Q6P6E0
OG0003501	Zebrafish.UniProt.renamed	Q9BRK3	B0CLV0, A0A8M3BDP1
OG0003502	Zebrafish.UniProt.renamed	P56385	Q08C42, A7YY99
OG0003503	Zebrafish.UniProt.renamed	Q9NPJ4, Q12796	B7TWP7
OG0003504	Zebrafish.UniProt.renamed	Q92765, Q6FHJ7	Q9W6E0
OG0003505	Zebrafish.UniProt.renamed	Q86UD1	E7F706, F1RCY0
OG0003506	Zebrafish.UniProt.renamed	Q96QS3	A0A0G2KXF6, O42115
OG0003507	Zebrafish.UniProt.renamed	P27539, Q9NR23	P35621
OG0003508	Zebrafish.UniProt.renamed	P20366	A0A8M2B5C4, A3KQK1
OG0003509	Zebrafish.UniProt.renamed	P31785	A8WH93, A0A8M3AGM8
OG0003510	Zebrafish.UniProt.renamed	P61073	Q9PTF7, Q7ZU02
OG0003511	Zebrafish.UniProt.renamed	Q15853	Q1L959, A0A8M9PND6
OG0003512	Zebrafish.UniProt.renamed	Q8IZJ6	A5PLC4, Q6P3J8
OG0003513	Zebrafish.UniProt.renamed	Q96AP7	A0A8M3AHG6, B0CLV1
OG0003514	Zebrafish.UniProt.renamed	A6NJT0	A0A0R4IVX3, Q50D79
OG0003515	Zebrafish.UniProt.renamed	C9J069	A0A8M6YZ78, A0A8M1Q1V0
OG0003516	Zebrafish.UniProt.renamed	O75791	Q567F1, Q6PE32
OG0003517	Zebrafish.UniProt.renamed	Q49A88	A0A8M9PXX3, A0A8M3AT55
OG0003518	Zebrafish.UniProt.renamed	A6NEY8	A0A8M3APG1, Q6PFS2
OG0003519	Zebrafish.UniProt.renamed	O00409	A0A8M9PED3, A0A8N7UYT9
OG0003520	Zebrafish.UniProt.renamed	Q92823, P32004	A0A8M2BC02
OG0003521	Zebrafish.UniProt.renamed	Q15391, Q9BY21	A0A0G2KD19
OG0003522	Zebrafish.UniProt.renamed	Q9NT99	A0A8M1RFX4, A0A8M9PEX1
OG0003523	Zebrafish.UniProt.renamed	A0A8I5KY20	E7F6V4, E7F783
OG0003524	Zebrafish.UniProt.renamed	A1A4G5	A0A0R4IP89, A0A0R4IJB6
OG0003525	Zebrafish.UniProt.renamed	O60391	A0A8M9P9F6, A0A8M6Z151
OG0003526	Zebrafish.UniProt.renamed	P33241	A0A0G2KYR2, A0A8M1RN68
OG0003527	Zebrafish.UniProt.renamed	Q96A05, P36543	Q8JHH4
OG0003528	Zebrafish.UniProt.renamed	P40967	Q1ECY0, Q1JQ71
OG0003529	Zebrafish.UniProt.renamed	P61916	Q9DGJ3, B3DFW4
OG0003530	Zebrafish.UniProt.renamed	Q16799	F1R540, Q4G5V7
OG0003531	Zebrafish.UniProt.renamed	A6NCQ9	A0A8M9PQH1, A0A8M2BAV9
OG0003533	Zebrafish.UniProt.renamed	P08697	F6NQ58, A1A5Y8
OG0003534	Zebrafish.UniProt.renamed	P10415	Q564A4, F8W266
OG0003535	Zebrafish.UniProt.renamed	Q10570	A0A0R4IC37, A0A8M1NHR0
OG0003536	Zebrafish.UniProt.renamed	Q969K3	A0A8M2BK99, A0A8M2B9I4
OG0003537	Zebrafish.UniProt.renamed	Q9H3M7	Q7ZWB6, E7F1B2
OG0003538	Zebrafish.UniProt.renamed	Q9NW97	A7E2J0, A0JMC5
OG0003539	Zebrafish.UniProt.renamed	Q9UBY9	A0A8M1RPE6, Q5XJD0
OG0003540	Zebrafish.UniProt.renamed	Q9Y592	F1R4Y7, A0A0R4IVY9
OG0003541	Zebrafish.UniProt.renamed	O75781	A0A2R8RTM3, A0A8M2B2U8
OG0003542	Zebrafish.UniProt.renamed	P08047	A0A8M9PII4, F1QW97
OG0003543	Zebrafish.UniProt.renamed	P14222	E7FA66, E7F996
OG0003544	Zebrafish.UniProt.renamed	Q96A00	Q6PBJ4, Q567W8
OG0003545	Zebrafish.UniProt.renamed	Q6N069, Q9BXJ9	A0A0R4I9S5
OG0003546	Zebrafish.UniProt.renamed	Q9NY35	Q6AXK7, Q6P9P5
OG0003547	Zebrafish.UniProt.renamed	Q9ULE6	Q803E0, B7ZD37
OG0003548	Zebrafish.UniProt.renamed	O60285	X1WG29, F1R343
OG0003549	Zebrafish.UniProt.renamed	P17900	A0A8M2BKE8, A0A286YA46
OG0003550	Zebrafish.UniProt.renamed	P48061	Q8AV10, Q6V9B5
OG0003551	Zebrafish.UniProt.renamed	Q3KP66	A0JML5, A0A8M9Q2R6
OG0003552	Zebrafish.UniProt.renamed	Q8IV42	A0A2R8RR04, A0A0G2L1G9
OG0003553	Zebrafish.UniProt.renamed	Q969Z3, Q5VT66	Q58EJ9
OG0003554	Zebrafish.UniProt.renamed	Q9NTX9	E7F1J2, A0A8N7T5E0
OG0003555	Zebrafish.UniProt.renamed	O00214	A0A8M9P949, X1WD11
OG0003556	Zebrafish.UniProt.renamed	P05090	F1R0I2, F1QDM9
OG0003557	Zebrafish.UniProt.renamed	P55075	O57341, Q805B2
OG0003558	Zebrafish.UniProt.renamed	Q02878	A0A8M9PVT7, Q567N5
OG0003559	Zebrafish.UniProt.renamed	Q13445	Q6DBT1, A1L273
OG0003560	Zebrafish.UniProt.renamed	Q9BVL4	Q1LVN8, A0A8M1P5M3
OG0003561	Zebrafish.UniProt.renamed	Q9H161	E7FGP3, A0A2R8RTN2
OG0003562	Zebrafish.UniProt.renamed	P02671	A0A8M9Q2Q8, B8A5L6
OG0003563	Zebrafish.UniProt.renamed	P31213	Q566Z4, A0A8M2B3D1
OG0003564	Zebrafish.UniProt.renamed	Q93045	Q4VBT7, E7FE68
OG0003565	Zebrafish.UniProt.renamed	Q9H6E4	A0A8M6Z583, A0A0G2KTT4
OG0003566	Zebrafish.UniProt.renamed	P12271	Q6PC74, Q6P027
OG0003567	Zebrafish.UniProt.renamed	P18859	A0A8M3B5K9, Q6NYF7
OG0003568	Zebrafish.UniProt.renamed	A0A1B0GTW7	A0A1D5NSK0, A0A8M9Q364
OG0003569	Zebrafish.UniProt.renamed	P22415	F1QUA1, Q6P015
OG0003570	Zebrafish.UniProt.renamed	P78413	Q1LWG1, A0A8M9PJE4
OG0003571	Zebrafish.UniProt.renamed	Q13671	A0A8M2BDW1, A0A8N7TEJ2
OG0003572	Zebrafish.UniProt.renamed	Q16518	A9C3R9, A9C3R8
OG0003573	Zebrafish.UniProt.renamed	Q8IY50	F1RDU1, A0A8M9QKB7
OG0003574	Zebrafish.UniProt.renamed	A6NN92	U3JA75, A0A8M9P965
OG0003575	Zebrafish.UniProt.renamed	O60662	E9QIN8, F1QEG2
OG0003576	Zebrafish.UniProt.renamed	P51841, Q02846	B3DHF2
OG0003577	Zebrafish.UniProt.renamed	Q9GZZ9	A0A2R8QGC0, X1WER2
OG0003578	Zebrafish.UniProt.renamed	O43541	Q1L8Y3, A0A8M1N6X6
OG0003579	Zebrafish.UniProt.renamed	O75112	A0A8M2B2Z1, A0A8M9Q9Y7
OG0003580	Zebrafish.UniProt.renamed	P18583	A0A8N7UR74, A0A8N7UZ56
OG0003581	Zebrafish.UniProt.renamed	P36969	A0A8M1PAF3, A0A8M1N743
OG0003582	Zebrafish.UniProt.renamed	Q13207	A0A8M2BCU2, Q7ZTU9
OG0003583	Zebrafish.UniProt.renamed	Q9BSE2	F6NI22, A0A8M3AQN8
OG0003584	Zebrafish.UniProt.renamed	P49257, Q9HAT1	A0A8N7UQW5
OG0003585	Zebrafish.UniProt.renamed	O75385	E9QIB7, B3DJH7
OG0003586	Zebrafish.UniProt.renamed	O95475, Q8N196	Q5TYZ2
OG0003587	Zebrafish.UniProt.renamed	P45378	A0A8M2BAI0, A8WGA6
OG0003588	Zebrafish.UniProt.renamed	Q12891	A0A8M3ATS4, A0A8N7TES9
OG0003589	Zebrafish.UniProt.renamed	Q6ZVL6	A0A8M3AJM2, F1Q5D2
OG0003590	Zebrafish.UniProt.renamed	Q8NCB2	A0A8M3ATL1, Q7SY49
OG0003591	Zebrafish.UniProt.renamed	Q9H1Z8	Q566V9, P0CAX4
OG0003592	Zebrafish.UniProt.renamed	B4E2M5	A0A8M6Z714, A0A8M1P3Z2
OG0003593	Zebrafish.UniProt.renamed	Q149M9	A0A8M6Z052, A0A8M3BDI6
OG0003594	Zebrafish.UniProt.renamed	Q6UWI4	E7FEC3, A0A8M9PE83
OG0003595	Zebrafish.UniProt.renamed	Q8NFI3	A0A8M1RM17, A1L251
OG0003596	Zebrafish.UniProt.renamed	Q96P65	A0A8M6Z242, A0A8M9QAD8
OG0003597	Zebrafish.UniProt.renamed	Q9BX79	F1RAX4, A0A8M2B6K3
OG0003598	Zebrafish.UniProt.renamed	Q9Y4L5	A1A601, F1QQA9
OG0003599	Zebrafish.UniProt.renamed	Q7Z4H4	B3DJI5, A0A8M3B2S0
OG0003600	Zebrafish.UniProt.renamed	A5PLL1	A0A8M2BJQ9, E9QC15
OG0003601	Zebrafish.UniProt.renamed	O15084	A0A8M3AZ88, E9QBZ2
OG0003602	Zebrafish.UniProt.renamed	Q14997	A0A2R9YJG8, F1R2X6
OG0003603	Zebrafish.UniProt.renamed	Q7Z3K6	A0A8M2BE82, F1Q9V8
OG0003604	Zebrafish.UniProt.renamed	Q96KR7	A0A8M9QHN5, A9JR57
OG0003605	Zebrafish.UniProt.renamed	O15015	A0A8N7TEY3, A0A8M3AKR9
OG0003606	Zebrafish.UniProt.renamed	P19835	Q7SXC0, A0A8M9PQY7
OG0003607	Zebrafish.UniProt.renamed	P25092	A0A8M3AQ67, A0A8M9Q9D5
OG0003608	Zebrafish.UniProt.renamed	Q2Q1W2	A0A8M1P6Z4, E7FAM5
OG0003609	Zebrafish.UniProt.renamed	Q8NDZ0	Q4V9E7, E9QHL3
OG0003610	Zebrafish.UniProt.renamed	Q99678	A0A8M3AV83, A0A8M9PK33
OG0003611	Zebrafish.UniProt.renamed	Q9BWC9	Q1LUD6, Q5EB04
OG0003612	Zebrafish.UniProt.renamed	A4UGR9	F1QP52, F8W4U4
OG0003613	Zebrafish.UniProt.renamed	Q5JU85	A0A8M2BEM6, A0A8M3AV51
OG0003614	Zebrafish.UniProt.renamed	Q6ZWT7	A0A0R4IJL5, F6NQA9
OG0003615	Zebrafish.UniProt.renamed	Q7Z3Q1	A0A8M3AWS9, A0A8M3AWN8
OG0003616	Zebrafish.UniProt.renamed	Q86UW1	A0A8M6Z2F3, Q66I08
OG0003617	Zebrafish.UniProt.renamed	Q8TF74	Q6IR48, F1R8X0
OG0003618	Zebrafish.UniProt.renamed	Q969V1	A0A8M1RPE0, A0A8M1QLG6
OG0003619	Zebrafish.UniProt.renamed	O00570	Q2Z1R2, Q6DGL6
OG0003620	Zebrafish.UniProt.renamed	O95231	Q9DG33, Q9DGM9
OG0003621	Zebrafish.UniProt.renamed	P78414	Q90XQ7, Q90YN0
OG0003622	Zebrafish.UniProt.renamed	Q6TFL3	A0A8M1RMK7, A0A8M1PZ12
OG0003623	Zebrafish.UniProt.renamed	Q8IXH6	E7F458, A0A8M9PF81
OG0003624	Zebrafish.UniProt.renamed	Q8WVF2	A4FVI5, Q6NWB6
OG0003625	Zebrafish.UniProt.renamed	Q9Y6Q5	A0A8M9P3N0, F1R3L9
OG0003626	Zebrafish.UniProt.renamed	O60516	Q98TT6, Q5U3D2
OG0003627	Zebrafish.UniProt.renamed	P55344	Q5BKW4, Q1L960
OG0003628	Zebrafish.UniProt.renamed	Q5QGS0	A0A8M2B3C0, A0A8M2BCM3
OG0003629	Zebrafish.UniProt.renamed	Q6PEY1	Q6P0G3, E7F115
OG0003630	Zebrafish.UniProt.renamed	Q96MV8	F1QXD3, A0JMB1
OG0003631	Zebrafish.UniProt.renamed	Q9BVX2	Q08BL5, A9UL54
OG0003632	Zebrafish.UniProt.renamed	O00584	B8XY56, A0A8M9NYL5
OG0003633	Zebrafish.UniProt.renamed	O75840	Q5TYN4, Q502L8
OG0003634	Zebrafish.UniProt.renamed	O95071	A0A8N7TFH6, A0A8M9PJ96
OG0003635	Zebrafish.UniProt.renamed	P01215	A0A8M9P0W3, Q6QX43
OG0003636	Zebrafish.UniProt.renamed	P17509	Q9YGT4, P15861
OG0003637	Zebrafish.UniProt.renamed	P51178	A0A8M2BAJ8, A7MD68
OG0003638	Zebrafish.UniProt.renamed	P56159	Q98TT8, Q98TT9
OG0003639	Zebrafish.UniProt.renamed	A6NLC5	A3KNX6, Q1LY84
OG0003640	Zebrafish.UniProt.renamed	Q96IW2	A8WHR4, A0A8M3AMA3
OG0003641	Zebrafish.UniProt.renamed	O95171	A8WHU6, A0A8M9Q7C2
OG0003642	Zebrafish.UniProt.renamed	O95196	A0A8M3AK55, A0A8M3B1Y9
OG0003643	Zebrafish.UniProt.renamed	Q6ZSG2	A0A286Y931, A0A286YAW5
OG0003644	Zebrafish.UniProt.renamed	Q8IZS8	A0A8M3BC64, A0A8M6Z1U2
OG0003645	Zebrafish.UniProt.renamed	Q96S97	X1WCE8, B0S636
OG0003646	Zebrafish.UniProt.renamed	Q99828	Q567I6, A0A8M1RFX7
OG0003647	Zebrafish.UniProt.renamed	Q9H1P3	E7F4S3, A0A8M2B8V1
OG0003648	Zebrafish.UniProt.renamed	Q9H8L6	A0A8M6Z3K5, A0A8M1NTG9
OG0003649	Zebrafish.UniProt.renamed	Q9HC52	A0JMJ7, Q502N4
OG0003650	Zebrafish.UniProt.renamed	Q9UQN3	B0UXH0, Q6NXD2
OG0003651	Zebrafish.UniProt.renamed	P18065	Q9PTH3, B3F211
OG0003652	Zebrafish.UniProt.renamed	P46379	Q7SZF4, A3KPW9
OG0003653	Zebrafish.UniProt.renamed	Q2M3D2	A0A8M3B147, A0A8N7TEH3
OG0003654	Zebrafish.UniProt.renamed	Q5VZV1	A0A8M3AWP4, A9JRB6
OG0003655	Zebrafish.UniProt.renamed	Q9BWT7	A0A8M1Q6Y0, A0A8M6YWW1
OG0003782	Zebrafish.UniProt.renamed	A6NI61	Q6IQ69
OG0003783	Zebrafish.UniProt.renamed	O00566	E7F5L8
OG0003784	Zebrafish.UniProt.renamed	O43159	B0R0L1
OG0003785	Zebrafish.UniProt.renamed	O43283	A0A8M6Z2U3
OG0003786	Zebrafish.UniProt.renamed	O60675	A0A0R4IVU1
OG0003787	Zebrafish.UniProt.renamed	O75113	Q1LVK9
OG0003788	Zebrafish.UniProt.renamed	O75486	A0A0R4IR35
OG0003789	Zebrafish.UniProt.renamed	O76096	A0A8M1RM75
OG0003790	Zebrafish.UniProt.renamed	O95674	Q7SXP9
OG0003791	Zebrafish.UniProt.renamed	O95704	A0A8M3ALU2
OG0003792	Zebrafish.UniProt.renamed	O95995	F1QNW4
OG0003793	Zebrafish.UniProt.renamed	P03886	Q9MIZ0
OG0003794	Zebrafish.UniProt.renamed	P08574	Q3B7R0
OG0003795	Zebrafish.UniProt.renamed	P0CW18	A0A8M6YWC2
OG0003796	Zebrafish.UniProt.renamed	P49821	Q6AZA2
OG0003798	Zebrafish.UniProt.renamed	P59190	Q6DI36
OG0003799	Zebrafish.UniProt.renamed	Q02241	A0A8M9PLX5
OG0003800	Zebrafish.UniProt.renamed	Q07020	Q6DGL0
OG0003802	Zebrafish.UniProt.renamed	Q14765	A0A8M2BFB6
OG0003803	Zebrafish.UniProt.renamed	Q15723	A0A2R8QIV0
OG0003804	Zebrafish.UniProt.renamed	Q15834	A2CEM9
OG0003805	Zebrafish.UniProt.renamed	Q53QZ3	B0S8J8
OG0003806	Zebrafish.UniProt.renamed	Q5I0G3	Q08BZ4
OG0003807	Zebrafish.UniProt.renamed	Q6ZRR5	Q1LXV8
OG0003808	Zebrafish.UniProt.renamed	Q6ZT98	E7F887
OG0003809	Zebrafish.UniProt.renamed	Q7RTV3	Q567C6
OG0003810	Zebrafish.UniProt.renamed	Q7Z3U7	A0A8M9PV63
OG0003811	Zebrafish.UniProt.renamed	Q7Z7G8	A0A8M9PDA7
OG0003812	Zebrafish.UniProt.renamed	Q86T20	E7EZ47
OG0003813	Zebrafish.UniProt.renamed	Q8N5X7	Q66HY7
OG0003814	Zebrafish.UniProt.renamed	Q9BQ31	B3DJ89
OG0003815	Zebrafish.UniProt.renamed	Q9BQ75	Q5XJK9
OG0003816	Zebrafish.UniProt.renamed	Q9BRX8	Q6PBP3
OG0003817	Zebrafish.UniProt.renamed	Q9BVV7	E7F4T6
OG0003818	Zebrafish.UniProt.renamed	Q9BZE3	Q53B64
OG0003819	Zebrafish.UniProt.renamed	Q9NRY2	Q7ZV26
OG0003820	Zebrafish.UniProt.renamed	Q9NS86	A2RUX2
OG0003821	Zebrafish.UniProt.renamed	Q9NS98	M9MM97
OG0003822	Zebrafish.UniProt.renamed	Q9P2J9	Q32LW9
OG0003823	Zebrafish.UniProt.renamed	Q9UBP0	Q6NW58
OG0003824	Zebrafish.UniProt.renamed	Q9UHP6	A0A8M1P3V2
OG0003825	Zebrafish.UniProt.renamed	Q9ULK0	R4GDN8
OG0003826	Zebrafish.UniProt.renamed	Q9Y2Z4	F1Q4R5
OG0003827	Zebrafish.UniProt.renamed	A0A2U3TZM8	A0A8M2BBQ4
OG0003828	Zebrafish.UniProt.renamed	A0PJE2	Q0D284
OG0003829	Zebrafish.UniProt.renamed	B1AJZ9	Q1RMB9
OG0003830	Zebrafish.UniProt.renamed	O43766	Q6PHG4
OG0003831	Zebrafish.UniProt.renamed	O43827	Q5XJQ0
OG0003832	Zebrafish.UniProt.renamed	O94923	F1QR43
OG0003833	Zebrafish.UniProt.renamed	O95479	E7FGT2
OG0003834	Zebrafish.UniProt.renamed	P05455	Q7ZTI0
OG0003835	Zebrafish.UniProt.renamed	P07305	Q6NYV3
OG0003836	Zebrafish.UniProt.renamed	P10600	Q66I23
OG0003837	Zebrafish.UniProt.renamed	P12104	A0A8M2BI88
OG0003838	Zebrafish.UniProt.renamed	P16591	A0A8M3ASR9
OG0003839	Zebrafish.UniProt.renamed	P17152	Q6NWH5
OG0003840	Zebrafish.UniProt.renamed	P22304	A1A5V0
OG0003841	Zebrafish.UniProt.renamed	P46777	Q6IQB1
OG0003842	Zebrafish.UniProt.renamed	P48509	Q6P031
OG0003843	Zebrafish.UniProt.renamed	P49961	E7FG27
OG0003844	Zebrafish.UniProt.renamed	P54764	F1QJD4
