Orthogroup	Zebrafish.UniProt.renamed	Human.UniProt.renamed
OG0001000	A0A0G2KTI4	P55011
OG0001000	A0A8M9PFN1	Q13621
OG0001001	A0A0R4ICR1, E7F9P1	Q495A1, Q96NY8
OG0001004	A5WUY4	P28370
OG0001004	B8A552	O60264
OG0001005	A0A8M2BJD9	Q9UKI9
OG0001005	A0A8M3AT79	P09086
OG0001006	X1WFI9	P09429, P23497, B2RPK0
OG0001007	A3KNA7	Q12772
OG0001007	A6XLD8	P36956
OG0001008	F1QSQ0	Q08554, Q14574, Q02487
OG0001009	F1R5N2	Q9NRC9, Q5JRA6, Q9BXG8
OG0001010	E7FC27	Q0D2I5
OG0001010	A0A8M9Q7X1	Q5TF58
OG0001011	A0A8M6Z143	Q7L0X2, Q8ND61, Q5W0A0
OG0001012	A0A8M3ATH9, A0A8M9PF29, A0A8M9QH85	Q96AQ2
OG0001013	Q6TH32	Q9Y281, P23528, P60981
OG0001014	X1WE18	Q63ZY3
OG0001014	A0A8M2BDE3	Q5T7N3
OG0001015	A0A8M1PUB2, Q567X9	Q6GPH6, Q8IWB1
OG0001017	E7F6T8	Q86T82, Q9HBJ7, Q9BXU7
OG0001019	A0A8M9PFS1, P0DM44	O75473, Q9HBX8
OG0001020	B0S6J3	O75044, P0DJJ0, P0DMP2
OG0001021	A0A8M1P4H4	P22079, P11678, P05164
OG0001022	Q0P471	P43251, O95497, O95498
OG0001023	F1QWM8	Q9HD90
OG0001023	O42202	Q13562
OG0001024	A0A8M9P8L2	Q14699
OG0001024	Q7ZTU0	Q52LD8
OG0001025	A0A8M3B519	Q8WU08, Q86UX6, Q9NY57
OG0001026	Q708S3, A0A8M3APJ2, Q708S4	Q96FT7
OG0001027	E7F1E3	Q2M3G0, P08183, P21439
OG0001028	A5PMI2	O95405
OG0001028	E7F6D8	Q7Z3T8
OG0001029	A0A8M9PEG9	P50416, Q92523, Q8TCG5
OG0001030	Q9I8N6, A0A8M9QP96, A0A8M3AX73	P07333
OG0001031	Q6T721	Q969P6
OG0001031	Q1ED17	P11387
OG0001032	A0A8M1RTN6, A0A8M9P770, E7EXE7	P20849
OG0001033	A0A8M3AYR3	Q00872, Q86VF2, Q8N9C0
OG0001035	F1Q740	P26640
OG0001035	B3DIT4	Q5ST30
OG0001036	A0A2R8Q9T1	O94900
OG0001036	A0A8M6Z117	Q96NM4
OG0001037	A1L1W3	O60658
OG0001037	A0A8M3AWN1	O95263
OG0001038	B3DJF3	O43252
OG0001038	Q802U9	O95340
OG0001039	A0A8M1RID7, A0A8M9Q2R7, A0A8M3AY03	P41217
OG0001040	Q6IQP1, Q803Q1	P46976, O15488
OG0001041	A2AR68	P31150
OG0001041	Q7ZVL9	P50395
OG0001042	Q6NY99	P51116
OG0001042	F1QLR3	P51114
OG0001043	F1QCY8	Q9UM82
OG0001043	A0A8M6Z232	Q8IUW3
OG0001044	Q5TZ18	Q8IVL0
OG0001044	A0A8M9PRM8	Q8IVL1
OG0001047	A0A2R8QCZ8, B3DK56, Q1RLY7	Q92729
OG0001048	Q5VSE6, A8KB76	Q9HB14, Q9HB15
OG0001049	A0A0R4IYE4	Q5T8P6
OG0001049	F8W2E8	Q9P2N5
OG0001050	A0A8M3AV93	O60333
OG0001050	A0A8M3APQ1	Q12756
OG0001052	E7F392	Q8WWK9
OG0001052	A2BG40	Q8IYA6
OG0001053	A0A8M9P0A0	Q9Y2U9
OG0001053	A0A8M9QA10	Q8N7A1
OG0001054	A0A0P0CP42	Q8ND23, Q5VZK9, Q6F5E8
OG0001055	A8KB74	Q9Y2D0, Q8WTZ4, P35218
OG0001056	A0A8M1RMD7	Q9HAH7
OG0001056	E7F4D0	Q8WXX7
OG0001057	A0A8M3BD27	Q96P11, Q63ZY6, Q3KNT7
OG0001058	F1R345	Q92771, A8MPP1, Q96FC9
OG0001059	A0A8M3B1F5	Q9UPV9
OG0001059	A0A0R4IDG7	O60296
OG0001060	F1QWN6	O00750
OG0001060	A0A8M6Z287	O75747
OG0001062	Q08BB3	Q5T6F0, Q5VU92, Q5VW00
OG0001063	A0A8M6Z2D8	Q9Y4D1
OG0001063	A0A8M1PZ97	Q86T65
OG0001065	E9QBZ4	Q9BQL6
OG0001065	F1Q8X5	Q96AC1
OG0001066	B8A5N7	P30307, P30305, P30304
OG0001067	A0A8M1RRB3, B8X730, A0A8M2B2L3	P36941
OG0001069	F8W315	Q8WX93
OG0001069	A0A8N7UTI8	Q86TC9
OG0001070	A0A8M9Q7S0, Q2P9V5, Q2VT45	Q8WXF3
OG0001071	Q4U2V3	Q9UPW5
OG0001071	A0A8M6YW35	Q96MI9
OG0001072	A0A8M9PRK7, A0A8M9PKI7	Q6UX53, Q9H8H3
OG0001073	A0A8M9Q6Q6	Q3KR37
OG0001073	A0A8M2B566	Q96CP6
OG0001074	A3KH10	Q9H9L3, Q8WTP8, Q96AZ6
OG0001075	Q1JPZ2	P15121, C9JRZ8, O60218
OG0001076	A0A8M9Q881	Q9NPF8
OG0001076	A0A8M2BK96	O75689
OG0001077	B0S6F2	O00160
OG0001077	E7FDV0	Q12965
OG0001078	A0A0R4IYX6, F6NSX9, Q1L8S9	Q8N1G0
OG0001080	A0A8M1NG56	Q9H324
OG0001080	A0A8M6Z1D0	Q9UKP5
OG0001082	F1R0G0, A0A8M1RM49	Q9H4I2, Q9UKY1
OG0001083	A0A8M6YY67	Q4G1C9, P48060, Q6UWM5
OG0001084	A0A8N7TFD0	Q9UPE1
OG0001084	A0A8M9PYJ9	P78362
OG0001085	E7EYW2	O95208, Q8IYW4, Q9Y6I3
OG0001086	A0A8M9PXN4	P61647
OG0001086	Q6KC13	Q92185
OG0001087	A0A8M2BIP7	Q15811
OG0001087	A0A8M9PBV5	Q9NZM3
OG0001088	A0A8M9QBM3, Q9W735, F1Q8X9	O43490
OG0001089	Q800G8, Q8JH68	P20591, P20592
OG0001090	Q8JFS7	P29074
OG0001090	F1QLN8	P26045
OG0001091	A0A8M9PQW2	O00203
OG0001091	A0A8M9P6N0	Q13367
OG0001092	F1RAG3	P14543
OG0001092	A0A8M2BH70	Q14112
OG0001093	A3KPM6	Q14832
OG0001093	A0A8M2BDP3	Q14416
OG0001094	A0A8M9PJ89	Q9P278
OG0001094	A0A0R4IT71	Q8TF40
OG0001096	Q66ID9, A0A0R4IF73, Q1L990	Q9NSK7
OG0001097	A0A0R4IM91	Q9UBN4
OG0001097	A0A8M3AXK0	Q9UL62
OG0001098	Q1LUA6	O75962
OG0001098	A0A8M6Z2L7	O60229
OG0001099	A0A8M9PAD2, X1WFM8	Q8TE68, Q9H6S3
OG0001100	A0A8M1RDQ1, G1EIL6	Q9C0C2, Q9BY89
OG0001101	A0A8M3B8A2, A0A8M6YSX4	A6NMZ7, A8TX70
OG0001102	F1Q890	P00747, Q16609, P08519
OG0001104	A0A8M2B533	Q9Y463
OG0001104	A0A8M2B3P5	Q13627
OG0001105	A0A2U9DQL0, A0A8M2BD46	Q14790, Q92851
OG0001106	A0A8M9P1Q4	O43556
OG0001106	F8W4K0	Q16586
OG0001107	P0C8Y3, F1QHR5	Q9BUW7, Q8N1Y9
OG0001108	A0A8M3AXD5	O75037
OG0001108	F8W409	Q7Z4S6
OG0001109	A0A8N7UVJ5	Q9Y3M8
OG0001109	A0A8M6Z677	Q96QB1
OG0001110	Q9W6I7, Q9PW55	O00292, O75610
OG0001111	A5D8S5	Q7Z6J0, Q8TEC5, Q8TEJ3
OG0001112	Q802Z0	Q9BYJ9
OG0001112	Q7ZW05	Q7Z739
OG0001113	A0A8M9Q0Q0	Q9UPU3
OG0001113	A0A8M9PN08	Q8WY21
OG0001114	A0A8M2BE08	O95754
OG0001114	A4JYS4	Q9C0C4
OG0001115	A0A8M6Z5H5, A0A8M2BHM0	O94868, Q86WN1
OG0001116	G8IHU0	P24043
OG0001116	Q45H72	P25391
OG0001117	Q7ZYW0	Q7LG56
OG0001117	P79733	P31350
OG0001118	A0A8M9PKW2	O00763
OG0001118	A0A8M9PK80	Q13085
OG0001119	F1R9U1	Q14183
OG0001119	A0A8M6YYK0	Q14184
OG0001120	Q5SP90	Q6IN85, Q6ZMV5, Q5MIZ7
OG0001121	F1QFP0	Q4VX76
OG0001121	A0A8M9QP53	Q96C24
OG0001122	A0A8M1NIG0, E7F186	Q9ULJ1, Q5BJF6
OG0001123	A0A8M3AMN7	O43157
OG0001123	A0A8M3B4P7	Q9ULL4
OG0001125	Q642J9	P35542, P0DJI8, P0DJI9
OG0001126	Q6PI52	P0DP25, P0DP24, P0DP23
OG0001127	A0A8M1RSR5	Q7Z7D3, P42081, Q9UM44
OG0001128	A0A8M2BBH3, A0A8M9Q072, F1QAZ3	Q8IY33
OG0001129	D2K290, D2K289, A0A8M1QVD6	Q8WVH0
OG0001130	A0A8M3B2D5	Q2NKQ1
OG0001130	A0A8M9PNK7	O43147
OG0001131	A5WW24	O15397
OG0001131	Q6NYN3	O95373
OG0001132	A1A5V2	A6NDB9
OG0001132	A0A8M9PNK9	Q9NP74
OG0001133	A0A2R8QH56, A0A0R4IKF9	O94886, Q5T3F8
OG0001134	A1L1N5	P35680
OG0001134	Q8UVH4	P20823
OG0001135	E7FE62, A0A8M3B2M5, Q1RMA5	Q6PJW8
OG0001136	A0A8M1NUZ8	O75339
OG0001136	F1Q5N7	Q8IUL8
OG0001137	A7MBX2	Q9NQ84, Q8NFJ5, Q9NZD1
OG0001138	A0A8M9PG46, Q1RLU8	Q8TDW4, Q9NRC1
OG0001139	Q90XG6	Q8NEV4
OG0001139	A0A8M1QKE9	Q8WXR4
OG0001141	A0A8M2BA60	Q8NCG5, Q9GZS9, Q9GZX3
OG0001142	C1K6H6, A2CEU2	Q9UBP4, Q9UK85
OG0001143	Q6P299, E9QCP4	P13473, P11279
OG0001144	Q32PN7	Q8IYY4
OG0001144	Q7T019	Q86YF9
OG0001145	F1QKI6	Q8NEM7, Q3ZLR7, P0C7V6
OG0001146	A0A8M2B4V0	Q9H329
OG0001146	Q6NYK4	Q9HCM4
OG0001147	P0C7U4, A0A8M3B303	Q9P296, P21730
OG0001148	A0A8M6Z206	P14410, O43451, Q2M2H8
OG0001149	E7F6E9	P41162
OG0001149	B7ZVP1	P50548
OG0001150	Q5PR41	O76062
OG0001150	A0A8M9PP65	Q14739
OG0001151	A0A0R4IR32	Q8NFQ6, P17213, P18428
OG0001152	A4JYS5	Q5DX21, Q96IQ7, Q86XK7
OG0001153	E7FFT8	Q16832
OG0001153	E7F3X9	Q08345
OG0001154	F1QF18	Q5TAQ9, A6NGE4, P0C7V8
OG0001155	Q00IB7	Q9ULM0
OG0001155	A0A8M9QFR0	Q8IVE3
OG0001156	A0A8M1PYV5, A0A8M9PFC1, A0A8M2BCG4	Q9HAI6
OG0001157	A0A8M9P3G8	Q9UKU0
OG0001157	A0A8M2BFN1	P33121
OG0001158	A0A8M9PS55, A0A8M2BEC0	Q5JTV8, Q8NFQ8
OG0001159	E7F4X3	Q86YJ5, Q9P2E8, A6NNE9
OG0001160	A0A8M2BG75, E7F898	Q9NPR2, Q9H3S1
OG0001161	E7FG24, A0A8M2BI56, E7F4B5	A6ND36
OG0001162	F1RCJ6, B3DHA2, Q6SYZ1	P50219
OG0001163	A0A0R4IP12	Q9NTI5
OG0001163	A1L1F4	Q29RF7
OG0001164	E7F6T6	Q5H9E4, Q3SY17, Q9H1U9
OG0001165	A0A8M1Q1Q9, A0A8M6Z990	Q6AHZ1, Q9C0D4
OG0001166	Q6NWJ1, A0A8M9PJQ7, A5WVM7	Q9BU79
OG0001167	A0A8M1Q1D0, F1Q4X5	P0C0L4, P0C0L5
OG0001168	X1WEJ6	Q15155, Q5JPE7, P69849
OG0001169	A0A8M9P097, Q6DBW3	Q7RTY1, Q7RTX9
OG0001170	A0A8M9Q814	Q9Y2D4
OG0001170	A0A8M9QME7	Q8TAG9
OG0001171	A0A8M9Q519	Q86UR5
OG0001171	A0A8M3AIH2	Q9UQ26
OG0001172	A0A8M9PZ51	Q9Y4G6
OG0001172	A0A8M9PTJ3	Q9Y490
OG0001174	A5WWJ4	P21941, O95460, O00339
OG0001175	A0A8M6Z1E8	P54107, P16562, P54108
OG0001176	F1Q5G9, E7F646	Q9BRC7, Q86YW0
OG0001178	A0A8M2BBK1, A0A8M6Z4Y1, Q52KK6	P55212
OG0001179	Q568M9	P48169
OG0001179	F1QGW0	Q16445
OG0001180	A0A8M1Q7L9	Q6P1N0
OG0001180	A0A0R4ILN1	Q5T0F9
OG0001181	F1QB81, A0A8M1RDX3	Q8IX21, Q8IXR5
OG0001182	A0A8M2B6W6	Q96JK9
OG0001182	A0A0R4IKI2	Q92585
OG0001183	F1R7P0	Q68D51
OG0001183	A0A8M9PV68	Q9ULE3
OG0001184	B3DIW3	Q9BXR5, Q9Y2C9, Q15399
OG0001185	A9NIM6	P04920
OG0001185	A0A096X8J7	P48751
OG0001186	A0A8M1NE58	P52756, P98175, P78332
OG0001187	Q6V9Y8	P51654
OG0001187	V5NES1	P78333
OG0001188	A0A2R8Q5R7	P28845
OG0001188	Q6PUF3	Q7Z5J1
OG0001189	A9ZPF4, A0A0R4IRX2	Q9Y4X3, Q9NRJ3
OG0001190	A0A8M9QKX1	P49418
OG0001190	A0A8M3B2G2	O00499
OG0001191	Q2HPG2, B3DJS9	O95970, Q8N135
OG0001192	Q5RGX4, Q503J3, A0A8M9PKP3	P42166
OG0001193	Q4FE81, A0A8M9PI58, B1NYI1	P49683
OG0001194	Q4V8W3	Q8IWT6, Q6P9F7, A6NIV6
OG0001195	E7F099	Q9H4K1
OG0001195	F1R3H7	Q8N443
OG0001196	A0A8M2B5J1, E7FFQ2, A0A8M3ARS1	Q92750
OG0001197	A0A2R9YJH0, A0A8M3B0C4, A0A8M6Z5L4	Q9H2D6
OG0001198	A0A0R4IAZ9	P53992
OG0001198	F1QRB4	O94855
OG0001199	A0A8M2BD60, F1R8X1	Q16849, Q5W5W9
OG0001200	F1R1Q2, A0A0G2L933	Q3KR16, O94827
OG0001201	A0A8M1PZH7	O60496
OG0001201	A0A8M1RE04	Q7L591
OG0001202	A0A8M3ARE9	O95259
OG0001202	A0A8M1RRD3	Q8NCM2
OG0001203	A0A8M9QGI4, A0A2R8RVM5	Q8ND94, Q8WUT4
OG0001204	F1QCN0, Q567H2	P0DPI2, A0A0B4J2D5
OG0001205	A0A8M9PXV3	P54274
OG0001205	A0A8M3ART8	Q15554
OG0001206	A0A8M9PPH9, A0A8M3B2W7, A0A8M9PFT2	Q96JM4
OG0001209	Q6NX98	Q8IZP2, P50502, Q8NFI4
OG0001210	E7FEV9	Q8TDQ0, Q96D42, Q96H15
OG0001211	Q6E2N3	Q9UPN9, Q13263, O15164
OG0001212	A0A0R4IXV4	Q06455, O75081, O43439
OG0001213	A0A8M9QD44	Q9UKP4
OG0001213	F1R8A1	P58397
OG0001214	A0A8M1RRM5	Q8WV15
OG0001214	A0A8M9PZT9	Q5JRV8
OG0001215	A0A8M9Q010	Q8N3D4
OG0001215	A0A8M2B4X7	Q8NDI1
OG0001216	A6H8Q3, A0A8M6Z3P8	A2RUH7, Q13203
OG0001218	E7FGN3	Q96GN5
OG0001218	A0A8M2BET8	Q9BWT1
OG0001219	A0A8M9PHA4, A0A8M9PN74, A0A8N7UVK9	Q9NY28
OG0001220	Q6BEA0	Q9HCM2
OG0001220	A0A2R8QPJ6	O75051
OG0001222	A0A8M9P8M3	Q5VTT5
OG0001222	A0A8M1RPD2	P54296
OG0001223	Q08CT1	Q8NFC6, Q8IYS8, Q96IK1
OG0001224	A0A2R8Q7R4	Q9Y458
OG0001224	A0A2R8QEJ0	Q96SF7
OG0001225	A0A8M1RS71	Q9NYA1
OG0001225	A0A8M9PK50	Q9NRA0
OG0001226	A0A8M3AMX3	Q9H2S9
OG0001226	A0A0R4IIC7	Q9UKS7
OG0001227	A0A8M9P4Q6	Q5R372
OG0001227	A0A8M6Z8C5	Q9Y3P9
OG0001228	A0A8N7TEZ1, Q7ZTS4, Q6PHE4	P05783
OG0001229	A0A2R8QB87, A0A8M9Q485	Q0VDD8, Q9C0G6
OG0001230	Q6PCR6	Q96KR1
OG0001230	A0A8M2B8G8	Q9UPR6
OG0001232	F1R166	Q14240
OG0001232	Q802C9	P60842
OG0001234	A0A0R4IPT5	Q86X29, Q86SU0, Q71H61
OG0001235	Q4QRJ9	P09923, P05187, P10696
OG0001236	Q8UVV3	Q14190
OG0001236	Q98SJ5	P81133
OG0001237	E7FFZ6, A0A8M6YUK1, E7F4D5	Q0VAF6
OG0001238	A0A8N7URA4	Q6P2M8
OG0001238	A0A8M9QHV1	Q14012
OG0001239	E9QJ40	Q9NX05, Q5T035, Q9NZB2
OG0001240	Q1JPU3	Q969J5
OG0001240	F1RBF1	Q9UHF4
OG0001241	Q8JGR1	Q9UHL0, Q9UMR2, Q9NUU7
OG0001242	A0A8M6Z1P2	P24534, P29692, Q658K8
OG0001243	A0A8M3ARE4	O75912
OG0001243	A0A8M9Q2N7	Q13574
OG0001244	A0A8M9Q6S7	Q3ZCN5
OG0001244	A0A8M9Q1V8	Q6ZRI0
OG0001245	Q0P435, A0A8N7TEZ4, F1QCW3	Q8NBN7
OG0001246	A0A8M2BEH5, A0A8M9PWB5	O43399, Q96J77
OG0001247	A9JRH0	Q6UXK5
OG0001247	A0A8M9Q7P8	O75325
OG0001248	Q08BJ5, B3DH44, Q90274	O95863
OG0001249	F1QFA1	Q99726, Q9BRI3, Q8IWU4
OG0001250	A0A8M9PCJ4, X1WC43, A0A2R8QAK8	Q9NZ56
OG0001251	A0A8M9PVK8	Q7Z553
OG0001251	A0A8M3AZH0	Q8NFP4
OG0001252	A5PMU4	Q7Z6G8
OG0001252	A0A8M6YZ10	Q92625
OG0001253	F1QSA4	P20916, Q9BZZ2, P20273
OG0001254	A0A8M9PPQ8	Q9Y4I1
OG0001254	A0A8M9P3E4	Q9ULV0
OG0001255	A0A8M9Q7R0	A9Z1Z3
OG0001255	A0A8M9QAZ7	Q2WGJ9
OG0001256	Q08C21	Q9UKQ2, Q9H2U9, O15204
OG0001257	A0A2R8QC82, A8KBX6, Q6AZW0	Q9UNU6
OG0001258	E7FDW4	O60347
OG0001258	A0A8N7TAE1	Q9P2M4
OG0001259	Q7T2A7	P04839, Q9Y5S8, Q9HBY0
OG0001260	Q08CK7	Q9NZI8
OG0001260	Q9PW80	O00425
OG0001261	F1Q5L7	Q6P5Q4
OG0001261	A0A8M9PRG4	P29536
OG0001262	A0A8M2BKX2	O43593, Q9Y4C1, Q7LBC6
OG0001263	A0A8M6Z3W4	Q9UIW2
OG0001263	B0S5N4	P51805
OG0001264	F1QI87, A0A8M1RJB6	Q3T8J9, Q9H869
OG0001265	Q6DHR3	Q0VAM2, Q8N431, Q8N9B8
OG0001266	E7F2H9	Q70Z35
OG0001266	F1R6J2	Q8TCU6
OG0001268	A0A8M2BFS5	Q9UPW6
OG0001268	A0A8M2B5C5	Q01826
OG0001269	Q5BL26	Q6PCB7
OG0001269	Q567D7	Q6P1M0
OG0001270	Q6DG17	Q969P0, Q93033, O75054
OG0001271	A0A8M9PJS4, A0A8M9PR20	B7ZLF3, B4DI05
OG0001272	F1R237, A0A8M9PCG6, A0A8M9P9T4	O60522
OG0001273	Q6P3H9, F1QSI9, A1A5Y9	P08195
OG0001274	A0A0R4IQZ2	Q8IUH4
OG0001274	A5WVX9	Q8IUH5
OG0001275	Q5TYS4	O43166
OG0001275	A0A8M1RI87	Q9P2F8
OG0001276	Q803N1	Q14188, Q14186, Q5H9I0
OG0001277	A0A8M3B4I0	P28347, Q15562, Q15561
OG0001278	A0A8M9PDL2	P98198, O60423, Q8TF62
OG0001279	A0A8M9PK29	P53708, P08514, P80108
OG0001280	A0A8M9QLT1	Q08493
OG0001280	A0A8M3B1W5	Q08499
OG0001281	A0A8M9P799	Q16099
OG0001281	A0A8M6YU34	Q16478
OG0001282	A7MBX1, Q1LYC9	Q96L46, P04632
OG0001283	O73791	Q02763
OG0001283	O73792	P35590
OG0001284	Q6NZU8	Q9NVI7, Q5T2N8, Q5T9A4
OG0001285	Q7SXT7	Q5TFG8, Q96GY0, Q53FD0
OG0001286	F1QZ50, A0A8N7TAI6, A0A8M2B557	Q09666
OG0001287	F1R6Y1	Q9NYV4
OG0001287	E7F092	Q14004
OG0001288	E7F340	O60779, Q53S99, Q9BZV2
OG0001289	F1QI68, A4QP92, A0A8M9PEZ4	Q9BXI3
OG0001290	A0A8M3AWF4	P42356, A4QPH2, Q8N8J0
OG0001291	C9W8C3	Q9BQD1, Q16048, P20382
OG0001292	Q561U7	Q8WWX0, Q96DX5, Q8WXH4
OG0001293	F1QSN9, Q7ZW81, Q7ZUR6	Q9NPI5
OG0001294	Q1W1Y2	O75594, Q96LB8, Q96LB9
OG0001295	Q6TCF8	P22888
OG0001295	C0SKM5	P16473
OG0001296	Q566T6, Q6NY73, Q24JV9	Q08380
OG0001297	A0A8M2BDH6, A1L229	Q8NHY0, Q00973
OG0001298	A0A0R4IHX8, Q5PR44, A0A1D5NSF9	Q96F10
OG0001299	Q8UVX0	Q7Z3Z4, Q96J94, Q7Z3Z3
OG0001300	Q1LX84	P16066
OG0001300	A0A8M3B2U7	P20594
OG0001301	F1QEG1	Q04656
OG0001301	A0A8N7T720	P35670
OG0001302	A0A8M2BEP6	P34947
OG0001302	E7F3T7	P43250
OG0001303	A0A8M2B7D7	O94915
OG0001303	A0A8M9PSZ2	Q5TBA9
OG0001304	Q0H0R9, E7F1W2, A0A8M6Z274	O14960
OG0001306	E7F6D0, A0A8M6Z2D5	P15151, Q92692
OG0001307	A9C3T3, A0A8M9Q3Y0	Q96RN1, Q9BXS9
OG0001308	A0A8M1PS84, E7EYP8, A0A8M2BJG7	Q9BZR8
OG0001309	A0A8M1QHC1	Q96RU2
OG0001309	A0A8M3B6G9	Q9UHP3
OG0001310	Q5EBY4	P04626
OG0001310	Q7SZF7	P00533
OG0001311	A0A8M9PX70	Q8WUI4
OG0001311	A0A0R4IAH0	P56524
OG0001312	A0A8M9PZ15	A6NHY2
OG0001312	A5D6U7	Q495B1
OG0001314	A0A8M2BBT3	O60706
OG0001314	F1QMZ9	Q09428
OG0001315	A0A8M9P384	Q9H9B1
OG0001315	A8TT22	Q96KQ7
OG0001316	A0A0R4IVA6	Q01970, Q9NQ66, Q00722
OG0001317	A0A8M3BCL4	Q15303
OG0001317	A0A8M2BD22	P21860
OG0001318	A9JSU9, A0A8M1NSW5, F1QK51	P22748
OG0001319	E9QJQ6	Q96KG7
OG0001319	A0A8M3AKE8	A6BM72
OG0001320	F8W3Z2	O94805
OG0001320	A0A8M2BD91	O96019
OG0001321	A0A8M9Q352, A0A8M9PZV9, A0A8M9PTU0	P17301
OG0001322	A0JMK8	A1A5D9
OG0001322	P0CF95	Q6ZP65
OG0001323	Q503R1, Q6DHN6	Q7Z7J9, Q96S95
OG0001324	A0A8M1PSN6, A0A8M9PYZ3	Q9UHE5, Q9UHF3
OG0001325	F6P1M3	P04629
OG0001325	F1QKJ0	Q16288
OG0001326	A0A8M6YWR6	Q9Y4I5
OG0001326	Q08CM4	Q6MZP7
OG0001327	A0A8M9PMX3, A0A8M9Q633, A0A8M6Z2E2	Q8NEY8
OG0001328	F1QT73	Q9P1A6
OG0001328	Q7ZYZ6	O14490
OG0001329	A0A8M1PVE2	Q5H9M0, Q2TAK8, A0A494C071
OG0001330	A9JRH8	P55160
OG0001330	B0S6R1	Q9Y2A7
OG0001331	E7FGK9	Q9ULD0
OG0001331	A0A8M2BJT5	Q02218
OG0001332	A0A8M9PPX4	Q86YV6, Q32MK0, Q9H1R3
OG0001333	A0A0R4ILK3	Q6P4F7, A0A499FJF3, Q3KRB8
OG0001334	A6H8I0	Q9UPT9, Q70EK9, A6NNY8
OG0001335	A0A8M1NFT2	Q5TC82
OG0001335	F1Q4N1	Q9HBD1
OG0001336	Q45QT2, A0A8M9QL22, Q9W7M8	P62328
OG0001337	A7MBT1	Q9Y625, Q8N158, O75487
OG0001338	E7FAV9, Q1LXK5, Q1LXK4	Q9HCE1
OG0001339	A0A8M3AJW5	Q86TV6
OG0001339	A0A8M1QQW3	Q9ULT0
OG0001340	F1QA42	Q8WWM7
OG0001340	A2CF31	Q99700
OG0001341	A1XQX6	Q9P2S2
OG0001341	A1XQX8	Q9Y4C0
OG0001342	A0A8M6Z838	P08572, P53420, Q14031
OG0001344	A0A8M9Q8S0, A0A8M1Q712, A0A8M9QHE4	Q969R2
OG0001345	A0A8M2BDQ8	Q14114
OG0001345	Q7ZZT0	P01130
OG0001346	Q5PYH5	Q12959
OG0001346	Q6R005	P78352
OG0001347	Q9DGK4	P13693, Q56UQ5, Q9HAU6
OG0001348	Q4Z8P3	P14598, A8MVU1, A6NI72
OG0001349	A0A8M1Q7Q2, Q6DBU8	Q6XZB0, Q8WWY8
OG0001350	A9JRB3, Q6GMI0	Q92743, P83105
OG0001351	Q503E0	P13056
OG0001351	F6PDV8	P49116
OG0001352	A8WG58	P45983
OG0001352	A0A8M1P270	P53779
OG0001353	A0A8M3ATT1, A0A8M6Z4V8, A0A8M9PSX2	Q6ZNA5
OG0001354	A0A0R4IDF6	Q6ZS30
OG0001354	E7FAW3	Q6ZNJ1
OG0001355	A0A8N7UUT2, Q66L64, A0A8M3AWQ3	Q9Y5L3
OG0001356	E7F533, Q6NZS1	P21709, P29317
OG0001357	A0A8M2BLS4, A0A8M6Z4E5	Q5XXA6, Q9NQ90
OG0001358	A0A8M9QEI0, A0A8M3AZ90	Q68DX3, Q6IN97
OG0001359	Q90YY7	Q96G23, Q8IU89, Q9HA82
OG0001360	Q66I06, A3KNL6, A0JMM9	Q9BVM4
OG0001361	A0A8M6YUU9, E9QD93	P49863, P12544
OG0001362	E7FFX0	Q8TE57
OG0001362	E7FEJ5	Q8TE60
OG0001363	A9JRF1	Q8WXA3
OG0001363	E7FE23	Q96T51
OG0001364	E7F116, A0A8M1RIE4, A0A8M2BBD4	Q9H3R2
OG0001365	A0A286Y962	Q9UK17
OG0001365	Q5VSI1	Q9NZV8
OG0001366	A0A8M2BG86	Q99767
OG0001366	E7FED4	O96018
OG0001368	A0A8M2BFR9, A1L2E0	Q9BZW4, Q9BZW5
OG0001369	F8W4G4, E9QH99	O14753, Q9BRP0
OG0001370	A0A8M1NIR5	P22352, O75715, P59796
OG0001371	O73727	P01308, F8WCM5, A0A2R8Y747
OG0001372	A7MD64, I3ISA2	Q6ZU65, Q9NPG3
OG0001373	A0A8M3AQE5	Q96C55, Q9P0T4, Q9UK33
OG0001374	E9QIM9	Q6BDS2
OG0001374	A0A8M3B8Z1	A0JNW5
OG0001375	D2CFN3	O95622
OG0001375	A0A8M6Z3Y2	O43306
OG0001377	Q5RI92, Q6PFT8	P43116, Q13258
OG0001378	A0A8M9PDL1, A0A8M3ALZ0, A0A8M6Z361	Q96BF3
OG0001380	A0A8M6Z3E7	Q8IWA4
OG0001380	A0A8M2BJP0	O95140
OG0001381	A0A8M1P9F8, A0A8M2B3Z6, O73682	P15692
OG0001382	A0A8M6Z7S1, A0A2R8Q9L0	Q86VH4, Q86VH5
OG0001383	A0A8M2B4V9	Q8IV61, Q8TDF6, O95267
OG0001384	Q4G6A6, A0A8M1P5M7, P83238	P02818
OG0001385	A0A8M1NYY8, X1WHV8	Q7L7V1, Q8TE96
OG0001386	A0A0R4IGK4	P27105, Q8TAV4, Q9NP85
OG0001387	A0A8M6Z4K3, A0A8M9QB73, A0A8M2B9A8	O60610
OG0001388	A0A8M6Z1P5	Q13683
OG0001388	A8WHQ8	P23229
OG0001389	Q5U3S8	Q9P2N2
OG0001389	A0A8M1Q7T1	Q8N392
OG0001390	A0A8M2B2B2	Q14161
OG0001390	A0A0R4IPR8	Q9Y2X7
